ngram_range;min_df;max_df;norm;sublinear_tf;penalty;C;fit_intercept;intercept_scaling;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
(2, 3);5;0.01;l1;True;l2;1000.0;True;0.001;None;0.07374884604543575;0.08010960025608997;0.07184614689621521;0.04135053311244459;0.07967752577208194;0.06934653041645349;4.568762969970703;125
(1, 3);25;1.0;l2;False;l2;0.01;False;None;balanced;0.5282529390060021;0.517243499488321;0.5345608624663084;0.5318163226799398;0.5235467741269687;0.527084079553508;0.28145370483398435;40
(2, 3);25;0.001;l2;True;l2;1000.0;True;0.001;balanced;None;None;None;None;None;None;0.13442893028259278;185
(2, 2);1;0.001;l1;True;l1;100.0;True;0.1;None;0.13805221359888356;0.11317631860217052;0.11628957111473655;0.1011301134546289;0.12158778023920198;0.11804719940192429;2.411101722717285;98
(3, 3);25;0.01;l2;False;l1;100.0;True;1000;balanced;0.0008343590136110199;-0.0016317171531592092;0.021144216450100412;-0.005403883747590295;-0.007229317130836127;0.0015427314864251598;0.12311697006225586;161
(1, 1);10;0.001;None;True;l2;100.0;True;1000;None;0.06456156760934136;0.05356723742283416;0.04958488738904725;0.028395418602434032;0.0481534219981152;0.0488525066043544;0.0912280559539795;140
(1, 3);25;0.001;l2;True;l1;0.1;True;1;balanced;None;None;None;None;None;None;0.16961426734924318;185
(3, 3);25;0.1;l1;False;l1;1000.0;True;10;balanced;0.0008343590136110199;-0.0016317171531592092;0.021144216450100412;-0.005403883747590295;-0.007229317130836127;0.0015427314864251598;0.1282367706298828;161
(1, 3);1;0.1;None;True;l2;10.0;True;10;None;0.5502858896690401;0.5652550171108469;0.5361703730801776;0.5633866952680296;0.569291800252244;0.5568779550760677;5.6155784130096436;21
(1, 2);3;0.1;l2;False;l1;100.0;True;0.01;balanced;0.44645576115482005;0.4683799102510989;0.43870105371630397;0.4492359106432337;0.47278703436666;0.45511193402642325;19.659938383102418;58
(1, 1);25;0.01;None;True;l2;1000.0;True;1;None;0.4281398432709169;0.41907767296313625;0.4271039513928957;0.42956149980887604;0.4117647371151513;0.4231295409101953;0.2217043399810791;67
(1, 1);1;0.01;l1;False;l1;0.001;True;10;balanced;0.0;0.0;0.0;0.0;0.0;0.0;0.09972758293151855;164
(2, 2);3;0.001;l1;True;l2;0.1;True;0.001;None;0.05497731777126359;0.045382928225874156;0.04388138405678411;0.044984039020541995;0.05281465562406603;0.04840806493970597;0.14003024101257325;141
(1, 2);5;0.01;l1;False;l2;1.0;True;10;None;0.48795357178570425;0.5076726292570577;0.49631055183743455;0.49707767242294804;0.4944683518735804;0.49669655543534497;0.28634443283081057;50
(1, 3);1;0.001;l1;True;l1;1.0;True;1;None;0.15036954941098135;0.12692365909307926;0.12969396075371623;0.1334760653423662;0.15460185634689846;0.1390130181894083;0.47762227058410645;95
(2, 2);3;0.001;None;False;l2;0.001;True;0.001;None;0.048239844626020635;0.04978140977782922;0.03879410911012855;0.036974683759619625;0.05487058509332696;0.045732126473384996;0.1426823616027832;142
(1, 2);25;1.0;l2;False;l1;0.1;True;1000;balanced;0.5576698798218651;0.5480823855479546;0.5599707098836094;0.5595375353178935;0.5465289900896471;0.5543579001321939;0.18363356590270996;23
(2, 2);10;0.001;l2;False;l1;1.0;True;1;None;0.017220911391426823;0.03499495442622744;0.01713971859720049;-4.479627043016503e-06;0.018403564188361615;0.01755093379523467;0.1337885856628418;154
(1, 3);5;0.01;None;False;l2;0.001;True;1;None;0.5287837771209668;0.528647551046815;0.5287472788330503;0.514234990493994;0.526470005949763;0.5253767206889178;0.29085426330566405;41
(3, 3);1;0.1;l2;False;l2;100.0;True;0.01;None;0.0524517890585541;0.04749016003092616;0.029528102475695834;0.009123140487018707;0.037100868367403464;0.035138812083919654;1.5787426948547363;144
(1, 3);25;0.01;l1;False;l1;10.0;True;1;None;0.4107820110581466;0.42570086167739046;0.42861919633278517;0.42449633072859305;0.42102398716788564;0.42212447739296016;0.3812190055847168;69
(3, 3);5;1.0;l1;False;l2;1000.0;False;None;None;0.007030709528874518;0.001335932253592812;-0.017373316627476338;-0.0073830744014092954;-0.005406478932306107;-0.004359245635744882;0.17372703552246094;182
(1, 1);10;0.01;None;True;l2;1000.0;True;1000;None;0.4903913035456908;0.47411847772208005;0.48361548900112034;0.47243903035031715;0.48354073215268656;0.480821006554379;0.18860206604003907;52
(1, 3);10;0.1;l2;True;l2;100.0;False;None;None;0.5438237644414281;0.5566659041298923;0.5524553270147483;0.5538891782209896;0.5716274097407763;0.5556923167095669;0.7262196063995361;22
(1, 3);3;0.01;l2;True;l2;10.0;True;0.1;None;0.44846486949459946;0.47066227211002987;0.4278616994383657;0.44203678758133846;0.45150110140227373;0.4481053460053214;0.4398335933685303;59
(2, 3);10;0.001;l2;False;l1;1000.0;True;0.01;None;0.017220911391426823;0.03398295725632139;0.020883150309942887;-4.479627043016503e-06;0.01518037986479285;0.01745258383908819;0.19190096855163574;155
(3, 3);5;0.1;None;False;l2;0.1;False;None;balanced;0.008146051144359422;-0.0013813411238298048;-9.143683786462111e-06;-0.005057625887226208;-0.006555847727936874;-0.0009715814556839856;0.12642641067504884;179
(1, 3);1;0.01;l2;False;l2;1000.0;True;1000;None;0.49685596321707354;0.49204535470210103;0.5015508978442728;0.5036241675239579;0.5008456511011998;0.49898440687772105;0.8098405838012696;48
(1, 2);3;1.0;l2;False;l2;0.001;True;0.01;None;0.4961251933164587;0.4990418765702011;0.5007669855551434;0.5087717628117417;0.4904838003391933;0.49903792371854766;0.20267744064331056;47
(2, 2);1;0.001;l1;False;l1;1000.0;True;0.1;None;0.1378044229135023;0.11369995728341847;0.11804728446240563;0.11149119832422415;0.12260545500549752;0.12072966359780964;7.3140294551849365;96
(2, 3);1;0.01;None;False;l2;1.0;True;1;None;0.1551718987230588;0.14023593388186462;0.15305875534055388;0.13633195157403716;0.14762678839899387;0.1464850655837017;53.60536761283875;89
(1, 3);1;0.1;l1;False;l1;1000.0;True;1000;None;0.4941598410803963;0.5209445195994377;0.5202607466837924;0.5328182376015979;0.521511968177466;0.5179390626285381;7.706841278076172;42
(1, 3);3;0.1;None;True;l2;10.0;True;0.1;None;0.4624493893515033;0.4842230738718182;0.45801355580830555;0.4646697815682682;0.5044133323480359;0.4747538265895862;25.082896757125855;53
(1, 2);1;1.0;None;True;l2;100.0;True;100;balanced;0.586284718011122;0.5918666018750348;0.5615384275112365;0.5812310203420271;0.5897994619645706;0.5821440459407983;1.2705090522766114;12
(1, 2);10;0.1;None;False;l2;1.0;True;10;None;0.570771421312858;0.5654685066116123;0.57764139530042;0.5636253437606522;0.5770709492231866;0.5709155232417459;0.5420402526855469;17
(1, 2);1;0.001;None;True;l2;0.1;True;10;balanced;0.16939018721941884;0.17265863772317658;0.16796277222822345;0.17179506706628545;0.16666019471086002;0.16969337178959287;5.16403112411499;82
(1, 3);1;1.0;l2;False;l1;1.0;True;10;None;0.631359748494495;0.6371873173773064;0.6373735876006875;0.6420903932698127;0.6524561701219688;0.6400934433728541;1.0126467227935791;1
(2, 2);3;1.0;l1;False;l2;0.01;True;0.001;balanced;0.08240448072488243;0.07622066847197859;0.0801187046206653;0.06917488640678018;0.08718875109464527;0.07902149826379037;0.13145942687988282;115
(1, 2);10;0.01;l1;True;l2;100.0;True;1;balanced;0.4453088389184087;0.4524161822504582;0.4410866123259033;0.44635099461042343;0.4508057354650533;0.4471936727140494;0.6551775455474853;60
(1, 3);3;1.0;None;True;l2;0.001;True;0.001;balanced;0.6237068293696112;0.6294333583457498;0.6373740531289228;0.6361121244852607;0.6324138657441413;0.6318080462147371;0.3308382987976074;2
