ngram_range;min_df;max_df;norm;sublinear_tf;penalty;tol;C;fit_intercept;intercept_scaling;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
(1, 1);None;None;None;None;None;None;None;None;None;None;0.60193357896256;0.5992239928228136;0.5982570201673376;0.6024190758296368;0.6115321238109571;0.602673158318661;0.21985106468200682;12
(1, 2);None;None;None;None;None;None;None;None;None;None;0.6175022275791991;0.6192858917257738;0.6126933861204592;0.6296830530960789;0.631826781936528;0.6221982680916078;0.6976475715637207;4
(2, 2);None;None;None;None;None;None;None;None;None;None;0.16546791053964663;0.1651067635633318;0.1607798531654039;0.1515399096671883;0.18846182784543114;0.16627125295620035;0.5840622901916503;36
(1, 3);None;None;None;None;None;None;None;None;None;None;0.6187918096566264;0.6176326189237015;0.610566102831116;0.6298607394308767;0.6355243616279022;0.6224751264940445;0.6541652679443359;3
(2, 3);None;None;None;None;None;None;None;None;None;None;0.16820611316600934;0.16608459819052207;0.15876163149187955;0.14969109777699216;0.16642133680159832;0.16183295548540028;0.4007761478424072;37
(3, 3);None;None;None;None;None;None;None;None;None;None;0.050883841890441185;0.046324143177250574;0.029242391018649037;0.006440230103125703;0.043269991750269916;0.03523211958794728;0.23101024627685546;39
None;1;None;None;None;None;None;None;None;None;None;0.60193357896256;0.5992239928228136;0.5982570201673376;0.6024190758296368;0.6115321238109571;0.602673158318661;0.21369094848632814;12
None;3;None;None;None;None;None;None;None;None;None;0.5916526168914034;0.6014932772264805;0.6007355007324409;0.6010164012678628;0.6109801575443949;0.6011755907325165;0.1395112991333008;24
None;5;None;None;None;None;None;None;None;None;None;0.6028832203367452;0.6059233885264985;0.6030202302420987;0.6047189180291623;0.6160158921514308;0.6065123298571871;0.13822007179260254;6
None;10;None;None;None;None;None;None;None;None;None;0.5964215625699065;0.5826680430294686;0.5923783155726584;0.5870824802824977;0.5992554135338879;0.5915611629976838;0.12861289978027343;28
None;25;None;None;None;None;None;None;None;None;None;0.5274804262775442;0.5318455366563061;0.5433106098119048;0.5366862603820653;0.5376069137069079;0.5353859493669457;0.12716917991638182;29
None;None;0.001;None;None;None;None;None;None;None;None;0.09327683996160564;0.10035906009757044;0.09044078958962602;0.09460850456373263;0.09847268814465719;0.09543157647143839;0.1516972541809082;38
None;None;0.01;None;None;None;None;None;None;None;None;0.4796372262564263;0.48128747151039764;0.4703988063950996;0.48353843126831647;0.48433491317324096;0.47983936972069624;0.2016115665435791;32
None;None;0.1;None;None;None;None;None;None;None;None;0.60193357896256;0.5992239928228136;0.5982570201673376;0.6024190758296368;0.6115321238109571;0.602673158318661;0.21942825317382814;12
None;None;1.0;None;None;None;None;None;None;None;None;0.60193357896256;0.5992239928228136;0.5982570201673376;0.6024190758296368;0.6115321238109571;0.602673158318661;0.21160454750061036;12
None;None;None;None;None;None;None;None;None;None;None;0.4854415947618731;0.5101778560860758;0.4903961107598965;0.49211896612561784;0.5088247137692994;0.4973918483005525;13.518399858474732;31
None;None;None;l1;None;None;None;None;None;None;None;0.6114940156806998;0.6074595642803381;0.6184190596989666;0.6227456764965063;0.618454237641626;0.6157145107596274;0.1872549533843994;5
None;None;None;l2;None;None;None;None;None;None;None;0.60193357896256;0.5992239928228136;0.5982570201673376;0.6024190758296368;0.6115321238109571;0.602673158318661;0.2036911964416504;12
