ngram_range;min_df;norm;sublinear_tf;penalty;C;intercept_scaling;class_weight;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
(1, 3);1;l1;True;l1;1.0;1.0;None;0.6057857324539073;0.6032787158187071;0.5967862187175609;0.6225606359776035;0.6113823823368937;0.6079587370609344;0.3177498340606689;65
(1, 2);5;l1;True;l1;0.01;1.0;balanced;0.20803882615766844;0.1971580894594692;0.20233810288714338;0.2089747041817061;0.1994019560739268;0.2031823357519828;0.09927730560302735;184
(1, 2);5;l2;True;l2;0.1;10.0;balanced;0.6283508365581236;0.637513647162334;0.6384050789829088;0.6342805441306698;0.6379595196365647;0.6353019252941202;0.1615079879760742;6
(1, 3);10;l1;True;l1;0.01;0.1;None;0.10932896152148543;0.08496830273491446;0.0886596470284656;0.07737068503024871;0.09631607565888951;0.09132873439480073;0.12149553298950196;195
(1, 2);1;l2;True;l2;0.1;10.0;balanced;0.6300658468314451;0.6315896808983005;0.6352708614410183;0.6425749053655575;0.6419845252065458;0.6362971639485734;0.31244664192199706;5
(1, 3);3;l2;True;l1;0.01;0.1;balanced;0.2675596471391785;0.2679662649875306;0.2657912160930165;0.27429018512874104;0.27063770103857426;0.26924900287740816;0.13708090782165527;178
(1, 2);1;l2;False;l1;0.1;0.1;balanced;0.6117810435197036;0.5940668901353945;0.5947029199862978;0.6145034871755266;0.6012284359642144;0.6032565553562274;0.288408899307251;85
(1, 3);1;l1;True;l2;0.01;0.1;balanced;0.4369777227475733;0.42994606506601346;0.44881120887703946;0.46991868786779223;0.4503889452278139;0.44720852595724647;0.32178387641906736;161
(1, 1);1;l1;True;l1;1.0;1.0;balanced;0.6179637801986825;0.6208077528224017;0.6175533545279857;0.6422292255134501;0.6291293401439242;0.6255366906412888;0.1737806797027588;17
(1, 3);10;l1;False;l2;0.1;0.1;balanced;0.611727183038079;0.6010984235333049;0.6073639426950224;0.6064297805724874;0.6058128002796727;0.6064864260237133;0.18450589179992677;69
